teks,label
"apalagi setelah aku selesai kuliah dan langsung bekerja, aku merasa berhasil menikmati hasilku selama ini",1
"dua buah melon yang subur segar terhidang di depanku oleh gadis itu, dengan sedikit basa basi gadis itu menyapaku entah sadar atau tidak dia telah menarik perhatianku karena payudaranya yang tidak terbungkus bh, kecuali dibalut baju yang berpotongan dada rendah",1
dengan tidak membuang kesempatan aku nikmati keindahan payudara itu dengan leluasa melalui cermin selama menyapu dikamarku,1
"menjelang dia selesai menyapu kamarku, tiba-tiba dia dekap perutnya sambil merintih kesakitan dan muka yang menampakkan rasa sakit yang melilitsambil tetap merintih dia jawab bahwa rasa mules perut tiba-tiba, maka aku bimbing dia ke kamarnya dengan tetap merintih memegangi perutnya sampai ditempat tidurnya",1
"tetapi tiba-tiba saat menggosok lagi-lagi dia mengerang dan mengaduh, sehingga membuatku sedikit panik dan membuatku segera ikut memegangi perutnya dan sambil ikut mengurut jugakepanikanku mulai hilang dan aku mulai sadar lagi akan keindahan payudara gadis itu bersamaan dengan bangkitnya perasaan gadis itu selama aku urut tadi mulai menelusuk ke tubuhnya merasakan kenikmatannya juga dan dengan tiba-tiba tanganku dipegangnya dan dibimbingnya tanganku ke taman berhiaskan buah melonnya yang subur segar dan aku turuti saja kenikmatan bersama ini untuk mengusap buah melon yang tidak terbungkus itu, dan tanganku terus menelusup diantara buah-buah itu sambil memetik-metik putingnya",1
"gadis itu mulai merintih nikmat, dan erangan halus dan memberi isyarat tanganku untuk terus dan terus memilin puting buahnya yang semakin menegangbaru aku sadari bahwa untuk kali pertama aku merasakan puting gadis yang menegang bila sedang terangsang dengan erangannya yang membuat penisku yang dari tadi ikut mengeras tambah menekan di dalam celanaku yang sebenarnya sudah siap untuk berangkat kerja, namun untuk sementara tertunda",1
"tanpa buang waktu, mulutku pun kuenduskan ke lehernya dan selanjutnya mulut kami saling berpautan, saling mengulum dan saling menjulurkan lidah dengan penuh nafsu, sementara tanganku terus menyusuri buah-buah yang subur itu untuk meningkatkan kegairahannya, sedang tangan gadis itu mulai hilang kesadarannya oleh kenikmatan itu dengan ditandai kegairahannya untuk melepas kaitan rok bawahannya dan dilanjutkan ke kancing-kancing blousenyakembali kesadaranku tertegun untuk pertama kali aku menikmati keutuhan tubuh seorang gadis yang hanya mengenakan cd-nyaachh lagi-lagi kenikmatan yang tak bisa ditunda pikirku, dengan terpaksa aku kemot putingnya dan dengan penuh gairah aku kemot buah dadanya sampai hampir merata bekas kemotan di kedua buah dadanya, sampai-sampai si nani tak percaya keganasankuketika aku sampai dirumah, yang memang setiap harinya sepi pada jam-jam kerja, maka menambah kegairahanku waktu aku membuka pintu depan yang tidak terkunci, dan langsung kukunci saat aku masuk",1
"maka kembali kenikmatan pagi itu aku teruskan lagi, dengan saling meraba dan dengan ciuman yang penuh nafsu dan kami masing hanya mengenakan celana dalam saja, sehingga kulit kami bisa saling bergesekan merasakan dekapan secara penuh, sementara kami berpelukan dan mulut berciuman, penisku merasakan keempukan tonjolan daging di selangkangan nani yang seolah terbelah dua memberikan sarang ke batang penisku",1
sedangkan dadaku merasakan tonjolan buah dadanya yang lembut dan torehan puting susunya di dadaku,1
"tanganku bergerak dari punggungnya beralih ke pantatnya yang bulat untuk aku remas-remas, sedang tangannya tetap memegang leher dan kepalaku dengan mulut, bibir dan lidah saling mengulum",1
kegairahan pagi itu kami lanjutkan di lantai kamarku untuk saling berguling dan tetap saling peluk menaikkan gairah petting kami yang pertama kali di lantai kamarkumaklum kamar indekost dengan tempat tidurku yang seadanya dan pas-pasan yang pasti kurang pas untuk kegairahan petting yang memuncak di pagi itu,1
"dengan leluasa tangan kami saling bergerak ke buah dada, penis, puting dan satu hal selama ini yang jadi obsesiku adalah keinginan yang terpendam untuk mengemot puting bila melihat buah dada wanita yang sedemikian montok dan menggairahkan, maka aku tumpahkan obsesiku pada kenikmatan pagi itu untuk pertama kalinyamass sayang terruss kemot pentilku mmaass gelii, geelii, eehm mas nikmat terus jilatin pentilku teruss aku peengin di jilatin terus pentilku",1
"dengan penuh gairah pertama aku puaskan menjilati putingnya yang aku rasakan semakin menegang dan demikian juga dengan penisku, sambil aku gesek-gesekkan ke tonjolan daging di selangkangannya",1
"aku kembali agak kaget ketika batang penisku merasa basah saat aku gesekkan di tonjolan daging selangkangan nina yang masih memakai cd, yang bahkan penisku sendiri belum mengeluarkan cairan spermamaka sambil mulutku mengemot dan menjilati puting susunya, tanganku mencoba meraba selangkangan nina diantara belahan daging, namun tiba-tiba dia memekik a aa ehh jangan dulu mas nggak tahan gelinya",1
"maka sementara aku lepaskan kembali dan tangan ku kembali meremas buah dadanya sambil memilin-milin putingnya mass he eh begitu kemotin pentilku teruss, susuku diremass-re eemas e eenak eeh ehghhm yangg gelipenisku terus aku gesek-gesekkan dicelah selangkangan nina, eeh,,eehh eehh eehh eeheh eh",1
"mas tarik cd-ku dan lepaskan celanamu, sampai pada ucapan nina tersebut maka sementara kami lepas pergumulan itu sambil aku dengan ragu dan deg-degan menarik pelan-pelan cd-nya yang masih dalam keadaan telentang sementara aku duduk dan dia mulai angkat kakinya ke atas saat cd-nya mulai bergeser meninggalkan pantatnya, sambil terus kutarik perlahan-lahan dengan saling berpandangan mata serta senyum-senyumnya yang nakal, maka aku dihadapkan dengan sembulan apa yang disebut clitoris yang ditumbuhi rambut-rambut halus sedikit keriting dan bllaass, lepas sudah cd-nya tinggalah celah rapat-rapat menganga semu pink dan semu basah dengan sedikit leleran lendir dari lubang kenikmatan itu",1
"nin kenapa sih tanyaku nakal, apanya mas sahutnya sambil senyum, kalau dikemot-kemot payudaranya sama pentilnya tadiiiih mas nakal, ya pingin lagi dong, sambil tangannya merayap ke selangkanganku yang masih pakai cd, memencet penisku yang menonjol dan juga meremas",1
"sama nikmat rasanya, pengin terus dielus-elus sama nina terus, geli eh-eh eh dengan penasaran dia mengesek-gesek pas lubang penisku, jadi geli rasanya",1
"kalau ininya dipegang-pegang gini gimana mas? sambil dia pegang dan raba-raba buah pelirkumas selama seminggu ini kita hanya berdua saja dirumah, terus gimana enaknya mas? tanyanya sambil iseng meremas-remas penisku yang tetap tegak sedang aku memilin-milin puting susunya yang juga tetap tegang, kita kelonan terus saja seminggu ini siang ataupun malam",1
tanganku mulai mengelus clitorisnya dan mulutku terus mengulum bibirnya dan kembali dia telentang di lantai dan aku mulai menindihnya mas kalau gini terus aku rasanya mau pingsan kenikmatan eehh m eghhmm aduuh nikmat mas di memekku geli rasanya teruuss eeghh eghh,1
"dan aku rasakan clitorisnya semakin basah, dan dengan lahapnya jari tengahku aku cabut dari clitnya untuk kujilati jariku dan aku rasakan nikmat gurihnya lendir seorang perempuan pertama kalinya",1
lenguhan mulutnya dan dengus napasnya menaikkan gairahku yang kian meningkat tapi aku ragu untuk menuruti naluriku mencoba memasukkan penisku ke lubang senggamanyamaka sementara aku tahan walupun penisku pun juga sudah semakin basah oleh lendirku juga,1
"aku mulai merayap kebawah selangkangannya dan mulutku berhadapan dengan clitorisnya tanpa dia sadari karena matanya terpejam menikmati gairah yang dirasakan, saat lidahku mulai menjilatlubang clitorisnya, kembali dia terpekik aahhuughh huu hu egghh aduh eggh nikmat, aduhh aku gimana nih mass aahh aku nggak kuat, mass mas eghh egh hhgeehh mas",1
"sambil dia aku perhatikan pantat, paha, perut dan kakinya seolah kejang seperti kesakitan tetapi aku sangsi kalau dia sakit, dan malahan kepalaku dia tekan kuat ke selangkangannya sambil terus berteriak hehehggheh ahh ehhehh huhh mass aku akuu rasanya eghh dan dia bangkit sambil menarik cd-ku yang masih aku kenakan, dan blarr, penisku menantang tegak mas masukkan mas eeghheghh dan dia angkat kakinya sambil telentang dia bentangkan lebar selangkangannya sambil tangannya membimbing penisku memasuki clitorisnya",1
mas kocok mas eghh mas yang dalam kocok terus selangkanganku aduhh eghh mas enakk,1
"sambil menekuk kaki, sementara tanganku sebagai tumpuan dan dengan berat tubuhku aku tindihkan dan kuamblaskan penisku ke lubang yang sedari tadi sudah menunggu, dan aku rasakan sedotan lubang yang sangat kuat pada batang penisku yang rasanya dikemot-kemotteruss mas maass nikmat kocok terus aduuh rasanya aku nggak kuat mass ada yang keluar eghh eeghh",1
"eehhgg aduuhh mass ahhgg-agh nani aku aduh egghh, nani rasanya memekmu ngemot eghh eehhmm nikmat terus sedot mass nikmat sekali nikmat dalam sekali",1
