text,label
"gadis seksi berusia 20 tahun sedang menerima penis raksasa, pakaian seksi minim, memperlihatkan banyak kulit, baju tersingkap di atas payudara, payudara telanjang, posisi *prone bone*, rok mini minim, rok melorot di pergelangan kaki, pakaian minim, payudara besar bulat sempurna, tubuh mungil, pengambilan gambar seluruh tubuh, tubuh mungil, 1 laki-laki, seks, penis raksasa, punggung melengkung, pencahayaan sinematik, g0thicPXL, bercahaya, neon",negatif;
"1 gadis, bersandar di dinding, wajah seksi, gaya rambut kuncir kuda, memakai topi, seksi, wajah imut, gadis kawaii, berponi, rambut panjang, mata hazel, memalingkan pandangan, pemalu, pipi merona, payudara besar dan kendur, belahan dada, tampak dari dada ke atas, bra olahraga putih, memegang payudara, puting, fokus pada payudara, sudut pandang orang pertama (POV), payudara bulat, close-up",negatif;
"1 gadis, imut, bersemangat, kulit putih, mata cokelat, tatapan menggoda, kaus hijau, payudara ukuran sedang, satu payudara terekspos, memegang payudara, sudut pandang dari bawah, bra, Lucy Heartfilia",negatif;
"(pria bertubuh besar duduk di kursi bioskop, gadis manis duduk di pangkuannya:1.1), celana terbuka, berpelukan, anal, cairan_vagina, seks_diam-diam, sperma, gaun_musim_panas, angkuh, terkejut, kelelahan, memutar_bola_mata, menutup_mulut, wajah_detail, detail_rumit, sangat_detail, sangat_estetis, garis_gerak, <lora:NAI Smooth Boys Style SDXL_LoRA_20r_20e_8i_nr32_a16_Pony Diffusion V6 XL:0.5> <lora:Concept Art Twilight Style SDXL_LoRA_Pony Diffusion V6 XL:0.7>",negatif;
"1 perempuan, 1 laki-laki di luar bingkai, usia 20 tahun, rambut dua warna (hitam dan merah), payudara kencang, belahan dada terlihat, wajah cantik, bertubuh mungil, mata ungu, bintik-bintik halus di wajah, hoodie kebesaran, rok hitam, kaus kaki setinggi paha bermotif garis, sepatu bot gaya Gothic, tampak kelelahan, menengadah ke atas, air liur menetes dari mulut, penis terkulai di atas wajah perempuan, penyembahan penis, lidah menjulur keluar, penis menempel di wajah, latar belakang mendetail, suasana luar ruangan, gang sempit, grafiti, malam hari, pencahayaan volumetrik, warna-warna cerah, gaya ekspresif, gaya Gothic Pixel, bercahaya, efek neon",pengambilan gambar seluruh tubuh dari sudut pandang atas. negatif;
"1 gadis. 20 tahun, rambut hitam dengan poni tebal, kepang, payudara kecil yang kencang, belahan dada, wajah cantik, mungil, mata merah, menatap ke arah penonton, merona, ekspresi puas diri, kulit berkilau, pose imut, bintik-bintik halus, baju renang hijau yang minim, berbaring di tepi kolam renang, berbaring di atas perut seorang pria (<lora:cuddling-handjob-ponyxl-lora-nochekaiser:1>, berpelukan sambil melakukan *handjob*, *handjob*, penis, payudara menekan, ejakulasi, sudut pandang orang pertama/POV, ereksi, telanjang, puting), diambil dari sudut pandang atas, latar belakang mendetail, latar kolam renang yang mewah, tanaman hias, matahari terbit, sinar cahaya ilahi (*god rays*), pencahayaan volumetrik, warna-warna cerah, lilandavastyle, OverallDetail, Expressiveh",negatif;
"1 gadis, duduk di tempat tidur, berlutut, kaki terbuka lebar, tangan di belakang punggung, paha berisi, berpose seksi, NSFW (BDSM), terikat, bondage, pergelangan kaki terikat, pergelangan tangan terikat, mengenakan sabuk, fokus pada payudara, ((penis masuk jauh ke tenggorokan)), pose Jacko, pantat terangkat kepala menunduk, ((cairan sperma)), ((mengiler)), (kepala dipegang), (ejakulasi), sedang orgasme, kasar, diludahi wajahnya, ludah, berantakan, memuja penis, menatap ke atas ke arahnya, pria berdiri di atasnya, memamerkan tubuh, pose seksi, pandangan dari atas, potret, (memuja payudara), ahegao, lidah menjulur, mulut terbuka, pencahayaan dari celah jendela, renda, lengan baju, stoking, sepatu hak tinggi, rok pendek berpinggang tinggi, payudara telanjang, kontak mata, rambut panjang, terikat tali, memakai kalung leher, gambar resolusi tinggi, mahakarya, golden hour, bayangan kontras tinggi, latar belakang kamar tidur, negative_hand, g0thicPXL, pencahayaan alami, overexposed, kilatan lampu keras, 1dk",negatif;
"1 perempuan, 1 laki-laki, perempuan Kaukasia seksi usia 20 tahun, bintik-bintik di wajah, perempuan mengerutkan dahi, (((mengerutkan dahi))), penis menempel di pipi perempuan, (rambut pirang), rambut panjang, (payudara kecil;1.3), pinggul ramping, payudara terekspos, sumber: buku komik, warna-warna pastel, gambar resolusi tinggi, mahakarya, tempat tidur di latar belakang, sudut pandang (POV), (sudut pandang laki-laki), (memegang kepala), tangan perempuan di belakang punggung, menatap ke arah penonton","negatif"";"
"gadis sedang disetubuhi, posisi menungging, ekspresi wajah saat orgasme hebat, pinggang ramping, memegang bokong, kepala miring ke samping, sudut Dutch, sudut pandang rendah, BREAK menggigit bibir sendiri, telanjang, imut, potongan rambut bob, bekas garis bikini, berambut pirang, payudara ukuran sedang tertekan, pipi merona, air liur, memutar bola mata, mata setengah terpejam, satu mata terpejam, (tersenyum:0.85), ekspresif, <lora:Styles\Twilight Style.safetensors:0.8> <lora:Styles\Disney Princess.safetensors:0.8> <lora:Styles\OfficialPit Style v2.safetensors:0.5> <lora:Styles\ExpressiveH.safetensors:0.5>",negatif;
"1 gadis, Makima, ruangan merah, lingerie, paha berisi, pinggang ramping, pinggul lebar, sarung tangan siku, berpose, close-up, sudut dinamis, close-up, simbol hati, efek suara, seksi, 1 pria, merona, handjob, menjilati penis, riasan luntur, keringat, sperma di wajah, dari samping, menengadah",negatif;
